,airbnb_id,airbnb_name,host_id,price,room_type,number_of_reviews,availability_365
146530,30376416,pinlia,143084679,41,Private room,16,0
146531,30376805,Bright Penthouse Apartment : Bdrm #1,11773839,145,Private room,11,0
146532,30376977,Bright Private Room in Stuyvesant Madison,226410657,38,Private room,0,365
146533,30377430,"Modern Private room in 12-min to A, C & J trains!",226410657,38,Private room,2,345
146534,30377718,Sunny Private Bedroom in Stuyvesant Madison,226410657,38,Private room,4,365
146535,30378040,Cozy Private Bedroom in Artsy Stuyvesant Madison,226410657,38,Private room,3,261
146536,30378211,Shared Studio (females only),200401254,31,Shared room,0,365
146537,30378844,Mellow Stuyvesant Private Bedroom Co-living space,226410657,38,Private room,3,365
146538,30378982,Modern Luxury Brooklyn Zen with Private Garden,3042136,285,Entire home/apt,62,335
146539,30379067,Large Room in Sunnyside,4275601,94,Private room,2,365
146540,30379513,Stunning Bushwick Private Bedroom in Co-living,226410657,52,Private room,2,365
146541,30387064,Stunning Corner 1BR in West Village w/ Doorman by Blueground,107434423,448,Entire home/apt,0,112
146542,30387132,"Rad Tribeca Studio, Indoor pool + Great views by Blueground",107434423,229,Entire home/apt,1,215
146543,30387196,Modern + Bright Times Square 1BR w/ Indoor pool by Blueground,107434423,283,Entire home/apt,0,253
146544,30387218,"Grand Lenox Hill 1BR w/ Doorman, near Central Park, by Blueground",107434423,348,Entire home/apt,0,37
146545,30387263,"Splendid Tribeca 1BR w/ Gym, Doorman + Valet by Blueground",107434423,323,Entire home/apt,0,250
146546,30387280,"Stunning Tribeca 2BR w/ Indoor pool, Gym, Rooftop by Blueground",107434423,315,Entire home/apt,0,338
146547,30387351,Palatial Wall Street 1BR w/ Luxury gym + Doorman by Blueground,107434423,233,Entire home/apt,0,343
146548,30387377,"Welcoming Chelsea 1BR w/ Roof deck, Gym + Doorman by Blueground",107434423,244,Entire home/apt,1,356
146549,30387425,Swanky 1BR in Central Chelsea w/ Garden by Blueground,107434423,298,Entire home/apt,1,305
146550,30387445,"Serene Theater District 1BR, Doorman, Gym, Garden by Blueground",107434423,233,Entire home/apt,0,311
146551,30387469,"Dandy Wall St 1BR w/ Office nook, Gym + Doorman by Blueground",107434423,164,Entire home/apt,0,365
146552,30387495,Stately + Spacious UWS 1BR w/ Doorman + Gym by Blueground,107434423,328,Entire home/apt,0,69
146553,30387553,"Ample Central Midtown East 1BR w/ Gym, Doorman by Blueground",107434423,189,Entire home/apt,0,364
146554,30387566,"Airy Times Sq 1BR w/ Indoor pool, Gym + Doorman by Blueground",107434423,258,Entire home/apt,1,295
146555,30387600,"Cozy Midtown Studio w/ Gym, near Penn Station by Blueground",107434423,135,Entire home/apt,1,359
146556,30387648,Cheery Tribeca Studio w/ Gym + Indoor pool by Blueground,107434423,383,Entire home/apt,0,0
146557,30387788,"Dapper Times Square 1BR w/ Indoor pool, Gym by Blueground",107434423,323,Entire home/apt,0,130
146558,30387820,Cozy Central Chelsea Studio w/ Balcony + Doorman by Blueground,107434423,244,Entire home/apt,1,339
146559,30387838,"Immaculate Central West Village 1BR, Gym, Doorman by Blueground",107434423,357,Entire home/apt,1,324
146560,30387856,Charismatic 1BR in West Village w/ Doorman + Gym by Blueground,107434423,233,Entire home/apt,0,364
146561,30387885,Times Square 1BR w/ Great views + Indoor pool by Blueground,107434423,244,Entire home/apt,0,331
146562,30387916,Smart Tribeca Studio w/ Great views + Indoor pool by Blueground,107434423,290,Entire home/apt,0,333
146563,30387960,"Ideal Chelsea Studio w/ Balcony, Doorman + Gym by Blueground",107434423,358,Entire home/apt,0,0
146564,30387983,Lush 2BR near Times Square w/ Indoor pool + Gym by Blueground,107434423,335,Entire home/apt,0,341
146565,30388011,"Bright 1BR near Times Sq w/ Indoor pool, Doorman by Blueground",107434423,289,Entire home/apt,0,206
146566,30388079,"Spacious UWS 1BR w/ Gym, Walk to Central Park by Blueground",107434423,298,Entire home/apt,0,167
146567,30388100,Light-filled Studio in Swanky Chelsea w/ Gym + Doorman by Blueground,107434423,273,Entire home/apt,1,0
146568,30388225,"Tranquil East Village 1BR Gym, Garden + Doorman, by Blueground",107434423,273,Entire home/apt,0,342
146569,30388313,"Roomy Midtown East 1BR, Office nook, Doorman, Gym by Blueground",107434423,195,Entire home/apt,0,364
146570,30388333,Thoughtful UWS Studio w/ Gym near Central Park by Blueground,107434423,258,Entire home/apt,0,99
146571,30388352,"Lofty UES 1BR w/ Indoor pool, Doorman, City views by Blueground",107434423,273,Entire home/apt,1,268
146572,30388449,"Spacious Chelsea 1BR w/ Gym, Balcony + Doorman by Blueground",107434423,283,Entire home/apt,0,311
146573,30388528,"Stylish Tribeca Studio w/ Gym, Doorman + Valet by Blueground",107434423,195,Entire home/apt,0,341
146574,30388552,"Sparkling Midtown Studio w/ Gym near Times Square, by Blueground",107434423,213,Entire home/apt,0,302
146575,30388587,"Homey UWS 1BR w/ Gym, walk to Central Park by Blueground",107434423,244,Entire home/apt,0,318
146576,30388750,Cozy Midtown 1BR w/ Doorman near Penn Station by Blueground,107434423,209,Entire home/apt,0,250
146577,30388944,Mod + Lux Theater District 1BR w/ Indoor pool by Blueground,107434423,195,Entire home/apt,0,364
146578,30388972,"Ample 1BR w/ Indoor pool, Gym near Broadway by Blueground",107434423,244,Entire home/apt,0,341
146579,30388999,"Swanky Central Chelsea Studio w/ Balcony, Doorman by Blueground",107434423,224,Entire home/apt,0,342
146580,30389026,Lovely Midtown East 1BR w/ City views + Doorman by Blueground,107434423,239,Entire home/apt,0,176
146581,30389066,"Light-filled Chelsea 1BR w/ Balcony, Gym, Doorman by Blueground",107434423,273,Entire home/apt,0,344
146582,30389115,"Airy East Village 1BR w/ Doorman, Gym, near NYU by Blueground",107434423,372,Entire home/apt,0,236
146583,30389147,"Modern Chelsea 1BR w/ Balcony, Doorman + Gym by Blueground",107434423,264,Entire home/apt,1,356
146584,30389192,Fetching FiDi Studio in Luxury Building by Blueground,107434423,204,Entire home/apt,1,306
146585,30389262,Large Couples Room for that Perfect New York Stay,137358866,66,Private room,3,192
146586,30389263,Stately Midtown East 1BR w/ Doorman near Flatiron by Blueground,107434423,239,Entire home/apt,1,180
146587,30389280,"Bright FiDi 1BR w/ Luxury gym, Doorman, + Rooftop by Blueground",107434423,199,Entire home/apt,0,353
146588,30389441,Shining Tribeca Studio w/ Indoor pool + Gym by Blueground,107434423,264,Entire home/apt,0,246
146589,30389559,"Homey Tribeca 2BR w/ Great views + Indoor pool, by Blueground",107434423,392,Entire home/apt,1,309
146590,30389608,"Mod East Village 1BR w/ Doorman, Gym near Union Sq, by Blueground",107434423,358,Entire home/apt,0,220
146591,30390975,Room & Private Bath + Free Gym/Pool/Theater/More!,12704088,88,Private room,7,0
146592,30391955,Queens Comfort,228213504,40,Private room,0,0
146593,30392517,"Cozy Studio in Charming Chelsea, Balcony, Doorman by Blueground",107434423,423,Entire home/apt,0,0
146594,30392543,Stately Theater District 1BR w/ Indoor pool + Gym by Blueground,107434423,209,Entire home/apt,0,359
146595,30392569,"Picture-perfect Flatiron Studio w/ Rooftop + Gym, by Blueground",107434423,189,Entire home/apt,1,364
146596,30392649,Palatial Midtown East 1BR w/ Office nook + Doorman by Blueground,107434423,213,Entire home/apt,1,319
146597,30392677,"Bright 1BR near Times Sq w/ Indoor pool, Doorman by Blueground",107434423,264,Entire home/apt,0,351
146598,30392780,"Stately Midtown Studio w/ Doorman, Gym, near MSG by Blueground",107434423,195,Entire home/apt,0,240
146599,30392806,"Mod Tribeca 1BR w/ Gym, Doorman +Rooftop garden by Blueground",107434423,392,Entire home/apt,0,16
146600,30392834,"Charming West Village Studio Oasis w/ Doorman, Gym by Blueground",107434423,264,Entire home/apt,0,303
146601,30392874,Crisp 1BR near Times Square w/ Indoor pool + Gym by Blueground,107434423,283,Entire home/apt,0,250
146602,30392909,Smart Midtown East Studio w/ Doorman + Gym by Blueground,107434423,216,Entire home/apt,0,288
146603,30392930,Bright + Mod Tribeca Studio w/ Indoor pool + Gym by Blueground,107434423,199,Entire home/apt,1,358
146604,30392986,"Peaceful Chelsea 1BR w/ Balcony, Doorman + Gym by Blueground",107434423,358,Entire home/apt,0,219
146605,30393018,"Stunning Tribeca Studio w/ City views, Gym + Pool by Blueground",107434423,213,Entire home/apt,0,357
146606,30393045,"Bright + Open Midtown 1BR w/ Doorman, Gym & Sundeck, by Blueground",107434423,278,Entire home/apt,0,31
146607,30393171,Airy & Bright FiDi Studio w/ Gym + Doorman by Blueground,107434423,175,Entire home/apt,1,350
146608,30393194,Stately Central West Village 1BR w/ Gym + Doorman by Blueground,107434423,376,Entire home/apt,0,185
146609,30393251,"Darling Chelsea 1BR w/ Balcony, Doorman + Gym by Blueground",107434423,323,Entire home/apt,1,257
146610,30393286,"Gorgeous 2BR, 2BA, Pool + Doorman, near Times Sq by Blueground",107434423,290,Entire home/apt,0,364
146611,30393322,"Comfy Wall Street 1BR w/ Speakeasy, Gym, + Rooftop by Blueground",107434423,164,Entire home/apt,0,361
146612,30393377,Clever 1BR near Broadway w/ Indoor pool + Gym by Blueground,107434423,289,Entire home/apt,1,364
146613,30393414,"Grand UES 1BR w/ Doorman, Gym, + Roof deck by Blueground",107434423,258,Entire home/apt,0,203
146614,30393427,Home,228223819,100,Private room,3,179
146615,30393464,"Superb FiDi 1BR w/ City views, Gym + Doorman by Blueground",107434423,251,Entire home/apt,0,13
146616,30393497,"Sleek Upper West Side 1BR w/ Balcony, Doorman, Gym by Blueground",107434423,343,Entire home/apt,0,130
146617,30393555,"Serene UWS 2BR w/ Doorman, Gym, near Central Park, by Blueground",107434423,355,Entire home/apt,0,318
146618,30393583,"Tailored Central Chelsea 1BR w/ Gym, Doorman by Blueground",107434423,289,Entire home/apt,0,319
146619,30393609,"Sauve FiDi Studio w/ Private terrace, Doorman by Blueground",107434423,233,Entire home/apt,0,292
146620,30393638,Adorable Theater District Studio w/ Indoor pool by Blueground,107434423,209,Entire home/apt,0,262
146621,30393689,Posh 1BR in Hip East Village w/ Doorman + Gym by Blueground,107434423,273,Entire home/apt,0,281
146622,30393759,Smart Studio in Heart of West Village w/ Doorman by Blueground,107434423,278,Entire home/apt,0,0
146623,30393778,"Sweet Midtown East 1BR, Water views, Gym, Doorman by Blueground",107434423,249,Entire home/apt,0,262
146624,30393798,Modern Sleek Apartment in Dumbo,16051761,175,Entire home/apt,0,0
146625,30393836,"Chic Chelsea Studio w/ Balcony, Gym + Doorman by Blueground",107434423,423,Entire home/apt,1,0
146626,30393853,Spacious 1 Bedroom in Historic Brownstone,49282603,130,Entire home/apt,5,0
146627,30393882,"Smart FiDi Studio w/ Gym, Roofdeck + Speakeasy by Blueground",107434423,209,Entire home/apt,0,248
146628,30393896,"Mod Tribeca Studio w/ Tons of light, Gym, Pool by Blueground",107434423,229,Entire home/apt,0,318
146629,30393921,"Chic Central Chelsea 1BR w/ Balcony, Gym, Doorman by Blueground",107434423,323,Entire home/apt,1,0
146630,30393944,"Spacious UWS 2BR w/ Great kitchen, Doorman + Gym by Blueground",107434423,365,Entire home/apt,0,342
146631,30393998,Roomy 1BR near Broadway w/ Indoor pool + Doorman by Blueground,107434423,278,Entire home/apt,0,282
146632,30394018,"Sleek Wall St. 1BR w/ Lux gym, Doorman, + Rooftop by Blueground",107434423,159,Entire home/apt,1,361
146633,30394053,"Dapper Midtown 1BR w/ Water views, Indoor pool by Blueground",107434423,213,Entire home/apt,0,360
146634,30394071,Dazzling Tribeca 2BR w/ Indoor pool + Great views by Blueground,107434423,296,Entire home/apt,1,323
146635,30394133,Friendly Midtown East Studio w/ Great light + Gym by Blueground,107434423,179,Entire home/apt,2,356
146636,30394155,"Open + Cozy Chelsea Studio w/ Gym, Lovely Sundeck by Blueground",107434423,258,Entire home/apt,1,190
146637,30394203,"Cozy + Quaint Chelsea 1BR w/ Doorman, Gym, Balcony by Blueground",107434423,264,Entire home/apt,0,349
146638,30394223,Snazzy Wall Street Studio w/ Lux gym + Roof deck by Blueground,107434423,253,Entire home/apt,0,7
146639,30394274,"Gorgeous, Roomy West Village 1BR w/ Doorman by Blueground",107434423,333,Entire home/apt,0,309
146640,30394340,"Comfy Tribeca Studio w/ Gym, Doorman + Roof deck by Blueground",107434423,195,Entire home/apt,0,341
146641,30394380,"Bright + Airy Theater District 1BR w/ Gym, Doorman by Blueground",107434423,213,Entire home/apt,0,363
146642,30394403,"Luxury FiDi Studio w/ Gym, Roof deck + Speakeasy by Blueground",107434423,184,Entire home/apt,0,343
146643,30394467,"Chic Central Chelsea 1BR w/ Gym, Balcony, Doorman by Blueground",107434423,289,Entire home/apt,0,321
