id,latitude,longitude,combinate_id
45935,40.8064,-73.92395,45
45936,40.8063,-73.95985,46
45940,40.71627,-73.9587,10
46544,40.67994,-73.97863,28
46911,40.67868,-73.97307,27
47362,40.68237,-73.9415,3
47370,40.74031,-73.99999,22
48719,40.71882,-73.98852,18
50447,40.6693,-73.98804,9
51438,40.77333,-73.95199,26
51850,40.67144,-73.76501,21
53137,40.76244,-73.99271,5
53196,40.69546,-73.93503,3
53469,40.71722,-73.87856,47
53470,40.70234,-73.89816,44
53477,40.71546,-73.87854,47
53758,40.72681,-73.98777,15
54158,40.7195,-73.95976,10
54453,40.76548,-73.98474,5
54466,40.80234,-73.95603,16
54508,40.6787,-73.97262,27
54544,40.81035,-73.94598,16
54626,40.83075,-73.93058,43
54694,40.67144,-73.76501,21
54860,40.79958,-73.94275,11
55498,40.6829,-73.93549,3
55668,40.72773,-73.99134,48
55982,40.68656,-73.97525,12
56525,40.729,-73.95829,23
56859,40.81219,-73.94499,16
57166,40.77185,-73.90502,49
57297,40.68926,-73.99386,37
57468,40.72821,-73.98701,15
57618,40.7672,-73.98508,5
57740,40.73012,-73.99053,15
57754,40.7403,-73.98498,50
57874,40.80931,-73.94343,16
58062,40.65912,-73.9842,13
58467,40.76193,-73.9501,51
59014,40.72052,-73.98589,18
59121,40.70411,-73.89934,44
59709,40.71756,-73.99503,7
59855,40.7589,-73.96991,1
60164,40.72003,-74.00262,36
60193,40.80481,-73.94777,16
60457,40.73194,-73.99474,52
60611,40.79163,-73.94573,11
60666,40.8118,-73.94434,16
60673,40.81583,-73.94707,16
60680,40.72654,-73.98049,15
60794,40.80021,-73.96071,6
60948,40.80942,-73.93936,11
61167,40.71961,-73.9954,53
61224,40.74358,-74.00027,22
61509,40.75749,-73.96897,1
61747,40.65979,-73.9618,19
62427,40.7268,-73.99079,15
62430,40.688,-73.9171,32
62452,40.63536,-74.08537,54
62461,40.63627,-74.08543,54
62468,40.79323,-73.97267,6
62787,40.63518,-74.08546,54
62891,40.72477,-73.98161,15
62903,40.74238,-73.99567,22
62925,40.72945,-73.95511,23
63320,40.63481,-74.08519,54
63360,40.75384,-73.91433,55
63573,40.66793,-73.98327,28
63588,40.81309,-73.85514,56
63610,40.881,-73.83511,57
63657,40.68236,-73.94314,3
63693,40.72185,-73.98246,15
63913,40.86648,-73.9263,14
64000,40.7069,-73.95467,10
64015,40.72807,-73.98594,15
64107,40.6778,-73.94339,58
64314,40.6761,-73.9529,58
64361,40.72162,-73.9796,15
64365,40.67586,-73.95155,58
64837,40.72321,-73.98157,15
65200,40.68027,-73.94433,3
65268,40.68276,-73.95264,3
65556,40.71368,-73.9626,10
65615,40.71069,-73.95175,10
65660,40.70863,-73.94641,10
65813,40.82888,-73.94307,16
65834,40.67319,-73.97323,28
66008,40.67846,-73.99443,33
66251,40.72681,-73.98534,15
66275,40.71904,-73.99392,18
66451,40.71031,-73.9583,10
66718,40.81322,-73.95306,16
66741,40.67732,-73.98225,28
66974,40.68076,-73.9896,34
67288,40.79544,-73.94836,11
67299,40.71492,-73.96282,10
67397,40.80332,-73.95741,16
68099,40.80082,-73.9652,6
68253,40.76336,-73.92099,55
68305,40.83035,-73.94933,16
68735,40.78971,-73.9729,6
68765,40.67817,-73.99495,33
68900,40.73119,-73.95578,23
68974,40.71943,-73.99627,53
69894,40.78,-73.98249,6
69921,40.70514,-73.91922,32
70128,40.73198,-73.98881,15
70279,40.67714,-74.0113,59
71248,40.71659,-73.98945,7
71366,40.72966,-74.00243,8
71384,40.72898,-73.95552,23
71812,40.87207,-73.90193,60
72190,40.77728,-73.97818,6
73246,40.80375,-73.96609,6
74073,40.71113,-73.96054,10
74240,40.71903,-73.9597,10
74333,40.80892,-73.93985,11
74680,40.77635,-73.93426,55
74821,40.80648,-73.9487,16
74860,40.72488,-73.95018,23
75635,40.71876,-73.98394,18
76761,40.66552,-73.99019,9
77765,40.73777,-73.95366,23
78919,40.68674,-73.98876,39
80493,40.72329,-73.98486,15
80684,40.73756,-73.9535,23
80700,40.73777,-73.95366,23
80924,40.67542,-73.98142,28
81739,40.73777,-73.95366,23
82549,40.6926,-73.99832,31
82550,40.69441,-73.99771,31
82638,40.72399,-73.98374,15
82928,40.6824,-73.94615,3
83391,40.72118,-74.01191,42
83446,40.68819,-73.97258,12
83847,40.72451,-73.98094,15
84010,40.73777,-73.95366,23
84059,40.67591,-73.94715,58
86215,40.71965,-73.98766,18
87279,40.80783,-73.93878,11
89205,40.72636,-73.98334,15
89427,40.68613,-73.96536,2
89621,40.68048,-73.94911,3
93313,40.68314,-73.93963,3
94035,40.75961,-73.91117,55
94209,40.67473,-73.94494,58
94477,40.69305,-73.93185,3
94783,40.67174,-73.95663,58
95747,40.71055,-73.95098,10
95883,40.69465,-73.95458,3
96471,40.68513,-73.96648,2
98663,40.74893,-73.99544,22
99085,40.68795,-73.97332,12
99662,40.71841,-73.99019,18
100002,40.85295,-73.93361,29
100184,40.72413,-73.76133,61
100186,40.66918,-73.99187,34
100368,40.74056,-74.00143,22
